method,event,frame,time,nis,g_t,g_z_eff,q_harm
of_farneback__robust_ossm_ukf,fail_lock,162,162.0,0.14344599809459757,0.7109539600642313,0.0,0.5479178388046992
of_farneback__robust_ossm_ukf,fail_lock,163,163.0,0.09526112080279159,0.716050220028081,0.0,0.5555383254482654
of_farneback__robust_ossm_ukf,fail_lock,164,164.0,0.05388102994394663,0.744517700949008,0.0,0.5630464422119854
of_farneback__robust_ossm_ukf,fail_lock,165,165.0,0.02237205993014395,0.8068910719882729,0.0,0.5700773190991163
of_farneback__robust_ossm_ukf,fail_lock,166,166.0,0.003948908677234595,0.8361489210718307,0.0,0.5761832438770342
of_farneback__robust_ossm_ukf,fail_lock,167,167.0,0.0005080529290241502,0.8492280872357709,0.0,0.5808469876167152
of_farneback__robust_ossm_ukf,fail_lock,168,168.0,0.010985853797020466,0.8526356719843964,0.0,0.5835085174464509
of_farneback__robust_ossm_ukf,fail_lock,169,169.0,0.03364463497012969,0.8479662364699294,0.0,0.5836071425285034
of_farneback__robust_ossm_ukf,fail_lock,170,170.0,0.06684746656725879,0.8333214228571237,0.0,0.58063903699336
of_farneback__robust_ossm_ukf,fail_lock,171,171.0,0.10894968938032137,0.8011653117122981,0.0,0.5742249544633523
of_farneback__robust_ossm_ukf,fail_lock,172,172.0,0.1599192670175879,0.7334033611070275,0.0,0.5641743509633225
of_farneback__robust_ossm_ukf,fail_lock,173,173.0,0.22859231356538823,0.7143592819738984,0.0,0.5505263404276054
of_farneback__robust_ossm_ukf,fail_lock,174,174.0,0.30240533242716733,0.7073204033407098,0.0,0.533554296850024
of_farneback__robust_ossm_ukf,fail_lock,175,175.0,0.37971019508016823,0.6996057313085647,0.0,0.5137338557258742
of_farneback__robust_ossm_ukf,fail_lock,176,176.0,0.4562824507972527,0.6914759329007382,0.0,0.49168238192641045
of_farneback__robust_ossm_ukf,fail_lock,177,177.0,0.5314356273778448,0.6831162276210296,0.0,0.46808298123492836
of_farneback__robust_ossm_ukf,fail_lock,178,178.0,0.6051840287244338,0.7010612741161983,0.0,0.4436096640721021
of_farneback__robust_ossm_ukf,fail_lock,179,179.0,0.6686173319947961,0.8001886840073161,0.0,0.41886799821592696
of_farneback__robust_ossm_ukf,fail_lock,180,180.0,0.6966866896745719,0.8414403542227332,0.0,0.39435845669542485
of_farneback__robust_ossm_ukf,fail_lock,181,181.0,0.7004528175580427,0.8602364222851105,0.0,0.37046332779613467
of_farneback__robust_ossm_ukf,fail_lock,182,182.0,0.6890670565681026,0.8704293685235732,0.0,0.3474540978221595
of_farneback__robust_ossm_ukf,fail_lock,183,183.0,0.6632351045982922,0.8768094613155529,0.0,0.3255142483147476
of_farneback__robust_ossm_ukf,fail_lock,184,184.0,0.6230241526935648,0.8816411513790859,0.0,0.3047734985735267
of_farneback__robust_ossm_ukf,fail_lock,185,185.0,0.5673673891523737,0.8856972111886403,0.04324461558550403,0.28535234783064445
of_farneback__robust_ossm_ukf,fail_lock,186,186.0,0.4984911790363252,0.8897556294029293,0.0963754889472136,0.2674170218754856
of_farneback__robust_ossm_ukf,fail_lock,187,187.0,0.4198332324386534,0.8934571433343969,0.14432686289926888,0.25124007376230906
of_farneback__robust_ossm_ukf,fail_lock,188,188.0,0.33589343592503096,0.8971070492465486,0.18594155193217893,0.2372466891387452
of_farneback__robust_ossm_ukf,fail_lock,189,189.0,0.25199639723653244,0.9002312227744158,0.21951332492950898,0.22600641805971586
of_farneback__robust_ossm_ukf,fail_lock,190,190.0,0.17375365638665058,0.9026305828380403,0.24326665439170858,0.21812332194956086
of_farneback__robust_ossm_ukf,fail_lock,191,191.0,0.10644452579245547,0.9035112542625876,0.25576081926829525,0.21401768965505139
of_farneback__robust_ossm_ukf,fail_lock,244,244.0,0.0004957062025273308,0.7303857709396345,0.09472380294481549,0.2610779303720915
of_farneback__robust_ossm_ukf,fail_lock,245,245.0,0.0036889587091586754,0.7303435455368967,0.09724316356868434,0.26003100078948455
of_farneback__robust_ossm_ukf,fail_lock,246,246.0,0.010212563087968762,0.7300489049888352,0.09816633380709075,0.25959115053521825
of_farneback__robust_ossm_ukf,fail_lock,247,247.0,0.02054345912745425,0.7293990839244774,0.09758986847902786,0.2597482047480103
of_farneback__robust_ossm_ukf,fail_lock,248,248.0,0.03521656688128122,0.7283873766730705,0.09554679851740498,0.26049452104072
of_farneback__robust_ossm_ukf,fail_lock,249,249.0,0.05485240435414237,0.7269119892906274,0.09205515604391228,0.26182484679965123
of_farneback__robust_ossm_ukf,fail_lock,250,250.0,0.07984938118709146,0.7592460044308453,0.09126337931247208,0.2637363034935979
of_farneback__robust_ossm_ukf,fail_lock,251,251.0,0.10201574292400731,0.8444544532153039,0.09444764020813916,0.2662284942026888
of_farneback__robust_ossm_ukf,fail_lock,252,252.0,0.11973056498740509,0.8793696778533421,0.0893486050990317,0.26930373815487674
of_farneback__robust_ossm_ukf,fail_lock,253,253.0,0.14222678054953697,0.8940654285009724,0.08004092267126292,0.27296740937682745
of_farneback__robust_ossm_ukf,fail_lock,254,254.0,0.1706440832015133,0.9007370323493294,0.06797105921521689,0.2772282526305854
of_farneback__robust_ossm_ukf,fail_lock,255,255.0,0.20416319863154236,0.9036978221991729,0.0536481116946344,0.28209855453590404
of_farneback__robust_ossm_ukf,fail_lock,256,256.0,0.24078745577637717,0.9046967031373846,0.037253280907857754,0.28759426176252223
of_farneback__robust_ossm_ukf,fail_lock,257,257.0,0.281600667118884,0.9044759981740597,0.018830235681639183,0.2937352049795428
of_farneback__robust_ossm_ukf,fail_lock,258,258.0,0.3286534200652346,0.903339425061755,0.0,0.30054523281712303
of_farneback__robust_ossm_ukf,fail_lock,303,303.0,3.4442147171966124,0.6165541073687668,0.4934760753886729,0.017385370002267534
of_farneback__robust_ossm_ukf,fail_lock,304,304.0,3.47764816867412,0.6285589621453105,0.4981098246390888,0.018415585275735055
