method,trial_key,path,filename,suffix,mtime,reason
dof__robust_ossm_ekf,10_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/10_0.npz,10_0.npz,0,1772694257.6187956,pre_epoch_stale
dof__robust_ossm_ekf,10_1,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/10_1.npz,10_1.npz,0,1772694268.8128376,pre_epoch_stale
dof__robust_ossm_ekf,10_2,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/10_2.npz,10_2.npz,0,1772694279.9598792,pre_epoch_stale
dof__robust_ossm_ekf,10_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/10_3.npz,10_3.npz,0,1772694291.0669208,pre_epoch_stale
dof__robust_ossm_ekf,11_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/11_0.npz,11_0.npz,0,1772694302.2029622,pre_epoch_stale
dof__robust_ossm_ekf,11_1,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/11_1.npz,11_1.npz,0,1772694313.6280046,pre_epoch_stale
dof__robust_ossm_ekf,11_2,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/11_2.npz,11_2.npz,0,1772694324.9880466,pre_epoch_stale
dof__robust_ossm_ekf,11_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/11_3.npz,11_3.npz,0,1772694336.142088,pre_epoch_stale
dof__robust_ossm_ekf,12_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/12_0.npz,12_0.npz,0,1772694348.7121344,pre_epoch_stale
dof__robust_ossm_ekf,12_1,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/12_1.npz,12_1.npz,0,1772694361.4371812,pre_epoch_stale
dof__robust_ossm_ekf,12_2,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/12_2.npz,12_2.npz,0,1772694372.9662235,pre_epoch_stale
dof__robust_ossm_ekf,12_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/12_3.npz,12_3.npz,0,1772694384.3982656,pre_epoch_stale
dof__robust_ossm_ekf,13_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/13_0.npz,13_0.npz,0,1772694395.5053062,pre_epoch_stale
dof__robust_ossm_ekf,13_1,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/13_1.npz,13_1.npz,0,1772694406.7513473,pre_epoch_stale
dof__robust_ossm_ekf,13_2,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/13_2.npz,13_2.npz,0,1772694418.0373886,pre_epoch_stale
dof__robust_ossm_ekf,13_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/13_3.npz,13_3.npz,0,1772694429.1874292,pre_epoch_stale
dof__robust_ossm_ekf,14_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/14_0.npz,14_0.npz,0,1772694440.4074702,pre_epoch_stale
dof__robust_ossm_ekf,14_1,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/14_1.npz,14_1.npz,0,1772694451.7955115,pre_epoch_stale
dof__robust_ossm_ekf,14_2,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/14_2.npz,14_2.npz,0,1772694463.1145527,pre_epoch_stale
dof__robust_ossm_ekf,14_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/14_3.npz,14_3.npz,0,1772694474.524594,pre_epoch_stale
dof__robust_ossm_ekf,15_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/15_0.npz,15_0.npz,0,1772694486.0746357,pre_epoch_stale
dof__robust_ossm_ekf,15_1,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/15_1.npz,15_1.npz,0,1772694497.5816774,pre_epoch_stale
dof__robust_ossm_ekf,15_2,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/15_2.npz,15_2.npz,0,1772694508.8017178,pre_epoch_stale
dof__robust_ossm_ekf,15_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/15_3.npz,15_3.npz,0,1772694520.1397586,pre_epoch_stale
dof__robust_ossm_ekf,16_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/16_0.npz,16_0.npz,0,1772694531.324799,pre_epoch_stale
dof__robust_ossm_ekf,16_1,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/16_1.npz,16_1.npz,0,1772694542.5298393,pre_epoch_stale
dof__robust_ossm_ekf,16_2,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/16_2.npz,16_2.npz,0,1772694553.641879,pre_epoch_stale
dof__robust_ossm_ekf,16_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/16_3.npz,16_3.npz,0,1772694564.8619194,pre_epoch_stale
dof__robust_ossm_ekf,17_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/17_0.npz,17_0.npz,0,1772694576.0029593,pre_epoch_stale
dof__robust_ossm_ekf,17_1,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/17_1.npz,17_1.npz,0,1772694587.2019992,pre_epoch_stale
